epoch,step,train_loss,val_loss
0,0,1.283890962600708,
0,0,,1.288841724395752
1,1,1.2773432731628418,
1,1,,1.2825853824615479
2,2,1.2706812620162964,
2,2,,1.2762655019760132
3,3,1.2639853954315186,
3,3,,1.2699717283248901
4,4,1.2573394775390625,
4,4,,1.2639179229736328
5,5,1.2508248090744019,
5,5,,1.2577645778656006
6,6,1.2445158958435059,
6,6,,1.2520654201507568
7,7,1.2384768724441528,
7,7,,1.2466378211975098
8,8,1.2327563762664795,
8,8,,1.241469144821167
9,9,1.2273870706558228,
9,9,,1.2366046905517578
